DateTime,Device,Temperature_F
2025-09-29 01:21:19,Basement ESP8266,81.3,in_range
2025-09-29 01:30:34,Basement ESP8266,81.2,in_range
2025-09-29 01:31:21,Basement ESP8266,81.2,in_range
2025-09-29 01:40:36,Basement ESP8266,81.3,in_range
2025-09-29 01:41:21,Basement ESP8266,81.2,in_range
2025-09-29 01:50:37,Basement ESP8266,81.2,in_range
2025-09-29 01:51:22,Basement ESP8266,81.2,in_range
2025-09-29 02:00:39,Basement ESP8266,81.2,in_range
2025-09-29 02:01:24,Basement ESP8266,81.2,in_range
2025-09-29 02:10:40,Basement ESP8266,81.3,in_range
2025-09-29 02:11:25,Basement ESP8266,81.4,in_range
2025-09-29 02:20:42,Basement ESP8266,81.3,in_range
2025-09-29 02:21:27,Basement ESP8266,81.3,in_range
2025-09-29 02:30:43,Basement ESP8266,81.3,in_range
2025-09-29 02:31:27,Basement ESP8266,81.2,in_range
2025-09-29 02:40:44,Basement ESP8266,81.2,in_range
2025-09-29 02:41:28,Basement ESP8266,81.3,in_range
2025-09-29 02:50:45,Basement ESP8266,81.2,in_range
2025-09-29 02:51:30,Basement ESP8266,81.2,in_range
2025-09-29 03:00:46,Basement ESP8266,81.2,in_range
2025-09-29 03:01:31,Basement ESP8266,81.3,in_range
2025-09-29 03:10:48,Basement ESP8266,81.4,in_range
2025-09-29 03:11:32,Basement ESP8266,81.3,in_range
2025-09-29 03:20:49,Basement ESP8266,81.3,in_range
2025-09-29 03:21:33,Basement ESP8266,81.3,in_range
2025-09-29 03:30:50,Basement ESP8266,81.2,in_range
2025-09-29 03:31:34,Basement ESP8266,81.2,in_range
2025-09-29 03:40:51,Basement ESP8266,81.2,in_range
2025-09-29 03:41:35,Basement ESP8266,81.2,in_range
2025-09-29 03:50:53,Basement ESP8266,81.2,in_range
2025-09-29 03:51:35,Basement ESP8266,81.2,in_range
2025-09-29 04:00:54,Basement ESP8266,81.2,in_range
2025-09-29 04:01:37,Basement ESP8266,81.3,in_range
2025-09-29 04:10:55,Basement ESP8266,81.4,in_range
2025-09-29 04:11:37,Basement ESP8266,81.4,in_range
2025-09-29 04:20:56,Basement ESP8266,81.3,in_range
2025-09-29 04:21:38,Basement ESP8266,81.3,in_range
2025-09-29 04:30:57,Basement ESP8266,81.3,in_range
2025-09-29 04:31:39,Basement ESP8266,81.2,in_range
2025-09-29 04:40:59,Basement ESP8266,81.3,in_range
2025-09-29 04:41:40,Basement ESP8266,81.2,in_range
2025-09-29 04:51:00,Basement ESP8266,81.2,in_range
2025-09-29 04:51:42,Basement ESP8266,81.2,in_range
2025-09-29 05:01:02,Basement ESP8266,81.2,in_range
2025-09-29 05:01:43,Basement ESP8266,81.2,in_range
2025-09-29 05:11:03,Basement ESP8266,81.4,in_range
2025-09-29 05:11:45,Basement ESP8266,81.4,in_range
2025-09-29 05:21:04,Basement ESP8266,81.5,in_range
2025-09-29 05:21:46,Basement ESP8266,81.4,in_range
2025-09-29 05:31:05,Basement ESP8266,81.3,in_range
2025-09-29 05:31:48,Basement ESP8266,81.3,in_range
2025-09-29 05:41:07,Basement ESP8266,81.3,in_range
2025-09-29 05:41:49,Basement ESP8266,81.3,in_range
2025-09-29 05:51:08,Basement ESP8266,81.4,in_range
2025-09-29 05:51:50,Basement ESP8266,81.4,in_range
2025-09-29 06:01:09,Basement ESP8266,81.3,in_range
2025-09-29 06:01:51,Basement ESP8266,81.3,in_range
2025-09-29 06:11:10,Basement ESP8266,81.3,in_range
2025-09-29 06:11:53,Basement ESP8266,81.3,in_range
2025-09-29 06:21:13,Basement ESP8266,81.3,in_range
2025-09-29 06:21:54,Basement ESP8266,81.3,in_range
2025-09-29 06:31:14,Basement ESP8266,81.3,in_range
2025-09-29 06:31:55,Basement ESP8266,81.3,in_range
2025-09-29 06:41:15,Basement ESP8266,81.3,in_range
2025-09-29 06:41:57,Basement ESP8266,81.2,in_range
2025-09-29 06:51:17,Basement ESP8266,81.2,in_range
2025-09-29 06:51:58,Basement ESP8266,81.3,in_range
2025-09-29 07:01:18,Basement ESP8266,81.4,in_range
2025-09-29 07:01:59,Basement ESP8266,81.4,in_range
2025-09-29 07:11:19,Basement ESP8266,81.3,in_range
2025-09-29 07:12:01,Basement ESP8266,81.3,in_range
2025-09-29 07:21:20,Basement ESP8266,81.3,in_range
2025-09-29 07:22:01,Basement ESP8266,81.3,in_range
2025-09-29 07:31:21,Basement ESP8266,81.3,in_range
2025-09-29 07:32:03,Basement ESP8266,81.3,in_range
2025-09-29 07:41:22,Basement ESP8266,81.3,in_range
2025-09-29 07:42:05,Basement ESP8266,81.3,in_range
2025-09-29 07:51:24,Basement ESP8266,81.3,in_range
2025-09-29 07:52:06,Basement ESP8266,81.4,in_range
2025-09-29 08:01:25,Basement ESP8266,81.3,in_range
2025-09-29 08:02:07,Basement ESP8266,81.5,in_range
2025-09-29 08:11:26,Basement ESP8266,81.5,in_range
2025-09-29 08:12:09,Basement ESP8266,81.4,in_range
2025-09-29 08:21:28,Basement ESP8266,81.4,in_range
2025-09-29 08:22:10,Basement ESP8266,81.4,in_range
2025-09-29 08:31:29,Basement ESP8266,81.3,in_range
2025-09-29 08:32:11,Basement ESP8266,81.3,in_range
2025-09-29 08:41:31,Basement ESP8266,81.3,in_range
2025-09-29 08:42:13,Basement ESP8266,81.3,in_range
2025-09-29 08:51:32,Basement ESP8266,81.3,in_range
2025-09-29 08:52:14,Basement ESP8266,81.3,in_range
2025-09-29 09:01:34,Basement ESP8266,81.3,in_range
2025-09-29 09:02:16,Basement ESP8266,81.3,in_range
2025-09-29 09:11:35,Basement ESP8266,81.3,in_range
2025-09-29 09:12:17,Basement ESP8266,81.3,in_range
2025-09-29 09:21:36,Basement ESP8266,81.3,in_range
2025-09-29 09:22:19,Basement ESP8266,81.3,in_range
2025-09-29 09:31:37,Basement ESP8266,81.3,in_range
2025-09-29 09:32:20,Basement ESP8266,81.3,in_range
2025-09-29 09:41:39,Basement ESP8266,81.3,in_range
2025-09-29 09:42:22,Basement ESP8266,81.4,in_range
2025-09-29 09:51:40,Basement ESP8266,81.4,in_range
2025-09-29 09:52:23,Basement ESP8266,81.5,in_range
2025-09-29 10:01:42,Basement ESP8266,81.4,in_range
2025-09-29 10:02:24,Basement ESP8266,81.4,in_range
2025-09-29 10:11:43,Basement ESP8266,81.3,in_range
2025-09-29 10:12:26,Basement ESP8266,81.4,in_range
2025-09-29 10:21:44,Basement ESP8266,81.4,in_range
2025-09-29 10:22:27,Basement ESP8266,81.3,in_range
2025-09-29 10:31:46,Basement ESP8266,81.3,in_range
2025-09-29 10:32:29,Basement ESP8266,81.3,in_range
2025-09-29 10:41:47,Basement ESP8266,81.3,in_range
2025-09-29 10:42:29,Basement ESP8266,81.4,in_range
2025-09-29 10:51:48,Basement ESP8266,81.5,in_range
2025-09-29 10:52:31,Basement ESP8266,81.4,in_range
2025-09-29 11:01:49,Basement ESP8266,81.4,in_range
2025-09-29 11:02:32,Basement ESP8266,81.4,in_range
2025-09-29 11:11:51,Basement ESP8266,81.3,in_range
2025-09-29 11:12:34,Basement ESP8266,81.3,in_range
2025-09-29 11:21:52,Basement ESP8266,81.4,in_range
2025-09-29 11:22:35,Basement ESP8266,81.3,in_range
2025-09-29 11:31:54,Basement ESP8266,81.3,in_range
2025-09-29 11:32:36,Basement ESP8266,81.3,in_range
2025-09-29 11:41:55,Basement ESP8266,81.4,in_range
